,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
0,+3.09289700E-02,1559385144.398,+1.57107840E+00,,,,
1,+1.82584300E-02,1559385144.6063333,+1.57108950E+00,,,,
2,+2.30699200E-02,1559385144.8146667,+1.57111060E+00,,,,
3,+2.03280300E-02,1559385145.023,+1.57103620E+00,,,,
4,+1.50411300E-02,1559385145.2313333,+1.57103500E+00,,,,
5,+1.17392200E-02,1559385145.4396667,+1.57103870E+00,,,,
6,+1.42180200E-02,1559385145.648,+1.57104490E+00,,,,
7,+2.15366700E-02,1559385145.8563333,+1.57104370E+00,,,,
8,+1.99249400E-02,1559385146.0646667,+1.57103500E+00,,,,
9,+1.89334100E-02,1559385146.273,+1.57102510E+00,,,,
10,+1.83673100E-02,1559385146.4813333,+1.57102140E+00,,,,
11,+1.84356100E-02,1559385146.6896667,+1.57103500E+00,,,,
12,+1.82922100E-02,1559385146.898,+1.57104370E+00,,,,
13,+1.84140300E-02,1559385147.1063333,+1.57103750E+00,,,,
14,+1.86676100E-02,1559385147.3146667,+1.57103500E+00,,,,
15,+1.85289700E-02,1559385147.523,+1.57102750E+00,,,,
16,+1.86541500E-02,1559385147.7313333,+1.57102260E+00,,,,
17,+1.90145600E-02,1559385147.9396667,+1.57102010E+00,,,,
18,+1.92567100E-02,1559385148.148,+1.57101890E+00,,,,
19,+1.94230600E-02,1559385148.3563333,+1.57101760E+00,,,,
20,+1.96029600E-02,1559385148.5646667,+1.57101390E+00,,,,
21,+2.01305900E-02,1559385148.773,+1.57100900E+00,,,,
22,+1.88285700E-02,1559385148.9813333,+1.57101140E+00,,,,
23,+1.95326300E-02,1559385149.1896667,+1.57100650E+00,,,,
24,+1.98167000E-02,1559385149.398,+1.57100520E+00,,,,
25,+2.25369500E-02,1559385152.919,+1.57100520E+00,,,,
26,+2.13743100E-02,1559385153.1273332,+1.57100520E+00,,,,
27,+2.07615500E-02,1559385153.3356667,+1.57100400E+00,,,,
28,+2.12728800E-02,1559385153.544,+1.57100280E+00,,,,
29,+2.03070600E-02,1559385153.7523332,+1.57099660E+00,,,,
30,+2.03233000E-02,1559385153.9606667,+1.57099160E+00,,,,
31,+2.04064800E-02,1559385154.169,+1.57099040E+00,,,,
32,+2.04118900E-02,1559385154.3773332,+1.57099040E+00,,,,
33,+2.01453900E-02,1559385154.5856667,+1.57099410E+00,,,,
34,+1.99891600E-02,1559385154.794,+1.57099900E+00,,,,
35,+2.00121500E-02,1559385155.0023332,+1.57099280E+00,,,,
36,+2.04294600E-02,1559385155.2106667,+1.57099530E+00,,,,
37,+1.94934000E-02,1559385155.419,+1.57099410E+00,,,,
38,+2.01230600E-02,1559385155.6273332,+1.57099660E+00,,,,
39,+2.01697300E-02,1559385155.8356667,+1.57098910E+00,,,,
40,+2.00189100E-02,1559385156.044,+1.57098790E+00,,,,
41,+1.91362700E-02,1559385156.2523332,+1.57098170E+00,,,,
42,+2.02407300E-02,1559385156.4606667,+1.57098170E+00,,,,
43,+1.93798300E-02,1559385156.669,+1.57097050E+00,,,,
44,+2.01582200E-02,1559385156.8773332,+1.57097800E+00,,,,
45,+1.97578200E-02,1559385157.0856667,+1.57097550E+00,,,,
46,+1.97625900E-02,1559385157.294,+1.57098910E+00,,,,
47,+1.97849000E-02,1559385157.5023332,+1.57099900E+00,,,,
48,+1.98329300E-02,1559385157.7106667,+1.57100770E+00,,,,
49,+1.92587100E-02,1559385157.919,+1.57100650E+00,,,,
50,+2.01034500E-02,1559385161.54,+1.57100900E+00,,,,
51,+1.89347300E-02,1559385161.7483332,+1.57100900E+00,,,,
52,+1.88090100E-02,1559385161.9566667,+1.57100030E+00,,,,
53,+1.81927900E-02,1559385162.165,+1.57099530E+00,,,,
54,+1.79012800E-02,1559385162.3733332,+1.57099280E+00,,,,
55,+1.79546900E-02,1559385162.5816667,+1.57099280E+00,,,,
56,+1.82867700E-02,1559385162.79,+1.57099280E+00,,,,
57,+1.78742800E-02,1559385162.9983332,+1.57098790E+00,,,,
58,+1.81920800E-02,1559385163.2066667,+1.57098040E+00,,,,
59,+1.84842700E-02,1559385163.415,+1.57097920E+00,,,,
60,+1.79621400E-02,1559385163.6233332,+1.57097800E+00,,,,
61,+1.81319000E-02,1559385163.8316667,+1.57097420E+00,,,,
62,+1.84201000E-02,1559385164.04,+1.57097670E+00,,,,
63,+1.86215400E-02,1559385164.2483332,+1.57097420E+00,,,,
64,+1.84193200E-02,1559385164.4566667,+1.57097550E+00,,,,
65,+1.84071500E-02,1559385164.665,+1.57097920E+00,,,,
66,+1.81332200E-02,1559385164.8733332,+1.57097800E+00,,,,
67,+1.84694800E-02,1559385165.0816667,+1.57097180E+00,,,,
68,+1.85505400E-02,1559385165.29,+1.57097420E+00,,,,
69,+1.86601200E-02,1559385165.4983332,+1.57097420E+00,,,,
70,+1.83281100E-02,1559385165.7066667,+1.57097420E+00,,,,
71,+1.82739100E-02,1559385165.915,+1.57097670E+00,,,,
72,+1.81766200E-02,1559385166.1233332,+1.57097550E+00,,,,
73,+1.82367100E-02,1559385166.3316667,+1.57097670E+00,,,,
74,+1.83368000E-02,1559385166.54,+1.57097920E+00,,,,
75,+1.81853000E-02,1559385170.14,+1.57098040E+00,,,,
76,+1.93066700E-02,1559385170.3483334,+1.57097920E+00,,,,
77,+1.93852400E-02,1559385170.5566669,+1.57098290E+00,,,,
78,+1.91903600E-02,1559385170.765,+1.57098660E+00,,,,
79,+1.93249600E-02,1559385170.9733334,+1.57098540E+00,,,,
80,+1.91552900E-02,1559385171.1816669,+1.57098290E+00,,,,
81,+1.92228100E-02,1559385171.39,+1.57098290E+00,,,,
82,+1.93141100E-02,1559385171.5983334,+1.57098290E+00,,,,
83,+1.94804900E-02,1559385171.8066669,+1.57098420E+00,,,,
84,+1.90158400E-02,1559385172.015,+1.57097920E+00,,,,
85,+1.93858000E-02,1559385172.2233334,+1.57097670E+00,,,,
86,+1.90016600E-02,1559385172.4316669,+1.57098040E+00,,,,
87,+1.91605900E-02,1559385172.64,+1.57098420E+00,,,,
88,+1.94311400E-02,1559385172.8483334,+1.57098040E+00,,,,
89,+1.89401000E-02,1559385173.0566669,+1.57098040E+00,,,,
90,+1.87375000E-02,1559385173.265,+1.57098290E+00,,,,
91,+8.56970000E-03,1559385173.4733334,+1.57098290E+00,,,,
92,+1.84597000E-02,1559385173.6816669,+1.57098040E+00,,,,
93,+2.30506000E-02,1559385173.89,+1.57098170E+00,,,,
94,+1.96282000E-02,1559385174.0983334,+1.57097920E+00,,,,
95,+7.68640000E-03,1559385174.3066669,+1.57097670E+00,,,,
96,+1.21515000E-02,1559385174.515,+1.57097920E+00,,,,
97,+2.02615000E-02,1559385174.7233334,+1.57097550E+00,,,,
98,+2.39199000E-02,1559385174.9316669,+1.57097670E+00,,,,
99,+2.09610000E-02,1559385175.14,+1.57097920E+00,,,,
100,+1.71952000E-02,1559385178.74,+1.57098420E+00,,,,
101,+1.78339000E-02,1559385178.9483333,+1.57098290E+00,,,,
102,+1.79348000E-02,1559385179.1566668,+1.57098170E+00,,,,
103,+1.76995000E-02,1559385179.365,+1.57098040E+00,,,,
104,+1.70741000E-02,1559385179.5733333,+1.57098420E+00,,,,
