,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
0,+3.34027500E-05,1559289845.229,+1.57096560E+00,1.2367250821467689e-08,5.1696886699507385e-05
1,+3.34908900E-05,1559289845.4373333,+1.57097180E+00,1.2399123767798466e-08,5.1696374384236457e-05
2,+3.35870600E-05,1559289845.6456668,+1.57096560E+00,2.2493647316538884e-07,5.169354679802955e-05
3,+3.36972400E-05,1559289845.854,+1.57096930E+00,2.1452263964950715e-06,5.169354679802955e-05
4,+3.36652000E-05,1559289846.0623333,+1.57096810E+00,2.145457831325301e-06,5.169393103448276e-05
5,+3.37914100E-05,1559289846.2706668,+1.57096560E+00,2.158441073384447e-06,5.169149753694581e-05
6,+3.38648700E-05,1559289846.479,+1.57096310E+00,4.280463636363636e-06,5.1695083743842365e-05
7,+3.37673700E-05,1559289846.6873333,+1.57096680E+00,4.280666046002191e-06,5.169393103448276e-05
8,+3.38375000E-05,1559289846.8956668,+1.57096310E+00,4.737340525739321e-06,5.16952118226601e-05
9,+3.40592100E-05,1559289847.104,+1.57096430E+00,6.4168135815991235e-06,5.169239408866995e-05
10,+3.39997800E-05,1559289847.3123333,+1.57096310E+00,6.417267579408543e-06,5.1693674876847286e-05
11,+3.40117900E-05,1559289847.5206668,+1.57096060E+00,6.12113143483023e-06,5.1694443349753696e-05
12,+3.40692300E-05,1559289847.729,+1.57096430E+00,8.568852026286967e-06,5.169329064039409e-05
13,+3.42769100E-05,1559289847.9373333,+1.57096060E+00,8.568959036144578e-06,5.169188177339902e-05
14,+3.42121400E-05,1559289848.1456668,+1.57096060E+00,8.569185980284775e-06,5.169290640394089e-05
15,+3.42234900E-05,1559289848.354,+1.57096430E+00,8.569373932092003e-06,5.1691625615763544e-05
16,+3.42261700E-05,1559289848.5623333,+1.57096430E+00,8.569551807228915e-06,5.169200985221675e-05
17,+3.42121400E-05,1559289848.7706668,+1.57096430E+00,8.569723877327492e-06,5.169547783251231e-05
18,+3.41794200E-05,1559289848.979,+1.57096560E+00,8.569758598028479e-06,5.1692778325123155e-05
19,+3.41941100E-05,1559289849.1873333,+1.57096430E+00,8.569887294633077e-06,5.16948275862069e-05
20,+3.43356800E-05,1559289849.3956668,+1.57096560E+00,8.569971193866375e-06,5.169431527093596e-05
21,+3.41787600E-05,1559289849.604,+1.57096680E+00,8.570075246440307e-06,5.169200985221675e-05
22,+3.42061300E-05,1559289849.8123333,+1.57096930E+00,8.570120043811611e-06,5.169239408866995e-05
23,+3.41967800E-05,1559289850.0206668,+1.57096680E+00,8.570086856516976e-06,5.169329064039409e-05
24,+3.42876100E-05,1559289850.229,+1.57097180E+00,8.570013143483024e-06,5.1692778325123155e-05
25,+3.41700600E-05,1559289853.893,+1.57096810E+00,8.883126725082147e-06,5.169047290640394e-05
26,+3.43577400E-05,1559289854.1013331,+1.57097180E+00,1.0733505147864184e-05,5.169226600985221e-05
27,+3.42629000E-05,1559289854.3096666,+1.57097050E+00,1.0733857940854326e-05,5.169303448275862e-05
28,+3.42822700E-05,1559289854.518,+1.57096680E+00,1.1089934282584884e-05,5.168688669950739e-05
29,+3.43069700E-05,1559289854.7263331,+1.57096810E+00,1.2831928806133626e-05,5.1689320197044334e-05
30,+3.44912900E-05,1559289854.9346666,+1.57096680E+00,1.283226286966046e-05,5.169290640394089e-05
31,+3.45928000E-05,1559289855.143,+1.57096430E+00,1.1374832420591456e-05,5.1689320197044334e-05
32,+3.45099900E-05,1559289855.3513331,+1.57096430E+00,1.497397699890471e-05,5.169047290640394e-05
33,+3.42575600E-05,1559289855.5596666,+1.57096560E+00,1.4973774370208106e-05,5.169098522167488e-05
34,+3.46909700E-05,1559289855.768,+1.57096560E+00,1.6139633077765608e-05,5.169457142857142e-05
35,+3.47851500E-05,1559289855.9763331,+1.57096930E+00,1.7169615553121578e-05,5.169239408866995e-05
